Comment,Designator,Footprint,LCSC, LCSC
"100n","C1,C2,C3,C4,C5,C6,C9,C10,C11,C12,C14","Capacitor_SMD:C_0805_2012Metric","","C28323"
"4.7n","C13","Capacitor_SMD:C_0805_2012Metric","","C1744"
"33u","C7","Capacitor_SMD:CP_Elec_6.3x7.7","","C72509"
"10u","C8","Capacitor_SMD:C_0805_2012Metric","","C440198"
"LED","D1","LED_SMD:LED_0805_2012Metric",""
"Ferrite_Bead_Small","FB1","Inductor_SMD:L_0805_2012Metric","","C1017"
"Fiducial","FID1","videobits:wakaba","","NOT FITTED"
"Fiducial","FID2","videobits:uwusmaller","","NOT FITTED"
"VGA","J1","custom_components:VGA_CONN","","NOT FITTED"
"Conn_01x03_Male","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","NOT FITTED"
"USB_C_Receptacle_Power","J3","videobits:USB_C_Receptacle_Generic_Power_Only","","NOT FITTED"
"SCART_CONN","J4","custom_components:SCART_CONN","","NOT FITTED"
"3xRCA_CONN","J5","videobits:3xRCA_CONN_SINGLE","","NOT FITTED"
"Conn_Coaxial","JR1,JU1","videobits:Cheapo_RCA_single_edge","","NOT FITTED"
"1k","R1","Resistor_SMD:R_0805_2012Metric","","C17513"
"5k1","R17,R16","Resistor_SMD:R_0805_2012Metric","","C27834"
"1k5","R2,R14","Resistor_SMD:R_0805_2012Metric","","C4310"
"75","R3,R4,R5,R11,R10,R9,R8","Resistor_SMD:R_0805_2012Metric","","C20638"
"200","R6,R13,R12","Resistor_SMD:R_0805_2012Metric","","C17540"
"10k","R7","Resistor_SMD:R_0805_2012Metric","","C55866"
"RT9166-18GVL(Z00)","U1","Package_TO_SOT_SMD:SOT-23","","C130827"
"LMH1251MT_NOPB","U2","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","","NOT FITTED"
"THS7374","U3","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
"74AHC1G86","U6,U7","Package_TO_SOT_SMD:TSOT-23-5","","C7471"
