Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",-17.000000,1.000000,270.000000,top
"C2","100n","C_0805_2012Metric",-16.900000,11.900000,90.000000,top
"C3","100n","C_0805_2012Metric",-22.700000,15.900000,90.000000,top
"C4","100n","C_0805_2012Metric",-28.000000,-0.500000,270.000000,top
"C5","100n","C_0805_2012Metric",-30.000000,-0.500000,270.000000,top
"C6","100n","C_0805_2012Metric",-32.000000,-0.500000,270.000000,top
"C7","33u","CP_Elec_6.3x7.7",-24.000000,28.300000,90.000000,top
"C8","10u","C_0805_2012Metric",-35.500000,30.900000,270.000000,top
"C9","100n","C_0805_2012Metric",-30.400000,25.400000,180.000000,top
"C10","100n","C_0805_2012Metric",-36.100000,22.300000,180.000000,top
"C11","100n","C_0805_2012Metric",-31.000000,8.000000,90.000000,top
"C12","100n","C_0805_2012Metric",-27.000000,-10.000000,90.000000,top
"C13","4.7n","C_0805_2012Metric",-19.300000,-1.100000,270.000000,top
"C14","100n","C_0805_2012Metric",-23.400000,12.900000,0.000000,top
"FB1","Ferrite_Bead_Small","L_0805_2012Metric",-42.000000,32.000000,180.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",-56.600000,27.400000,90.000000,top
"R1","1k","R_0805_2012Metric",-30.400000,27.400000,180.000000,top
"R2","1k33","R_0805_2012Metric",-34.200000,27.400000,180.000000,top
"R3","75","R_0805_2012Metric",-17.000000,-2.993000,270.000000,top
"R4","75","R_0805_2012Metric",-16.900000,15.900000,90.000000,top
"R5","75","R_0805_2012Metric",-17.300000,27.000000,270.000000,top
"R6","200","R_0805_2012Metric",-19.300000,3.000000,90.000000,top
"R7","10k","R_0805_2012Metric",-34.900000,3.800000,0.000000,top
"R8","75","R_0805_2012Metric",-35.000000,1.000000,180.000000,top
"R9","75","R_0805_2012Metric",-35.500000,-11.500000,90.000000,top
"R10","75","R_0805_2012Metric",-35.500000,-3.500000,270.000000,top
"R11","75","R_0805_2012Metric",-35.500000,-7.500000,270.000000,top
"R16","5k1","R_0805_2012Metric",-45.400000,28.800000,180.000000,top
"R17","5k1","R_0805_2012Metric",-45.400000,26.800000,180.000000,top
"U1","MCP1700-2802E_SOT23","SOT-23",-32.254000,30.858000,90.000000,top
"U2","LMH1251MT_NOPB","TSSOP-24_4.4x7.8mm_P0.65mm",-25.500000,8.000000,270.000000,top
"U3","TPF144-VR","MSOP-10_3x3mm_P0.5mm",-30.600000,-10.300000,270.000000,top
"U6","74AHC1G86","TSOT-23-5",-36.500000,19.500000,0.000000,top
"U7","74AHC1G86","TSOT-23-5",-41.500000,19.500000,0.000000,top
