Comment,Designator,Footprint,LCSC,Quantity
Ferrite_Bead_Small,FB1,L_0805_2012Metric,C1017,1
10k,R7,R_0805_2012Metric,C17414,1
4.7n,C13,C_0805_2012Metric,C1744,1
1k,R1,R_0805_2012Metric,C17513,1
200,"R12,R13,R6",R_0805_2012Metric,C17540,3
75,"R10,R11,R3,R4,R5,R8,R9",R_0805_2012Metric,C22356789,7
THS7374,U3,TSSOP-14_4.4x5mm_P0.65mm,C2652746,1
RT9166-18GVL(Z00),U1,SOT-23,C2688243,1
100n,"C1,C10,C11,C12,C14,C2,C3,C4,C5,C6,C9",C_0805_2012Metric,C28233,11
USB_C_Receptacle_Power,J3,USB_C_Receptacle_Generic_Power_Only,C283540,1
1k5,"R14,R16,R17,R2",R_0805_2012Metric,C4310,4
10u,C8,C_0805_2012Metric,C45783,1
33u,C7,CP_Elec_6.3x7.7,C47023112,1
74AHC1G86,"U6,U7",TSOT-23-5,C484740,2
LED,D1,LED_0805_2012Metric,C84256,1
SCART_CONN,J4,SCART_CONN,,1
3xRCA_CONN,J5,3xRCA_CONN_SINGLE,,1
VGA,J1,VGA_CONN,,1
Conn_Coaxial,JR1,Cheapo_RCA_single_edge,,1
Conn_Coaxial,JU1,Cheapo_RCA_single_edge,,1
Conn_01x03_Male,J2,PinHeader_1x03_P2.54mm_Vertical,,1
Fiducial,FID1,wakaba,,1
Fiducial,FID2,uwuriel,,1
