Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,-17.0,1.0,-90.0,top
C10,100n,C_0805_2012Metric,-36.1,22.3,180.0,top
C11,100n,C_0805_2012Metric,-31.0,8.0,90.0,top
C12,100n,C_0805_2012Metric,-27.0,-10.0,90.0,top
C13,4.7n,C_0805_2012Metric,-19.3,-1.1,-90.0,top
C14,100n,C_0805_2012Metric,-23.4,12.9,0.0,top
C2,100n,C_0805_2012Metric,-16.9,11.9,90.0,top
C3,100n,C_0805_2012Metric,-22.7,15.9,90.0,top
C4,100n,C_0805_2012Metric,-28.0,-0.5,-90.0,top
C5,100n,C_0805_2012Metric,-30.0,-0.5,-90.0,top
C6,100n,C_0805_2012Metric,-32.0,-0.5,-90.0,top
C7,33u,CP_Elec_6.3x7.7,-24.0,28.3,90.0,top
C8,10u,C_0805_2012Metric,-35.5,30.6,-90.0,top
C9,100n,C_0805_2012Metric,-30.4,25.4,180.0,top
D1,LED,LED_0805_2012Metric,-17.75,31.85,0.0,top
FB1,Ferrite_Bead_Small,L_0805_2012Metric,-42.0,31.7,180.0,top
FID1,Fiducial,wakaba,-39.6,-30.6,0.0,top
FID2,Fiducial,uwuriel,-21.1,-22.45,0.0,top
J1,VGA,VGA_CONN,-50.4,0.88,-90.0,top
J2,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,-28.8,18.66,0.0,top
J3,USB_C_Receptacle_Power,USB_C_Receptacle_Generic_Power_Only,-52.1,27.4,90.0,top
J4,SCART_CONN,SCART_CONN,-44.61,-6.135,-90.0,top
J5,3xRCA_CONN,3xRCA_CONN_SINGLE,-10.10274,13.0,90.0,top
JR1,Conn_Coaxial,Cheapo_RCA_single_edge,-9.875,-15.6,-90.0,top
JU1,Conn_Coaxial,Cheapo_RCA_single_edge,-9.875,-28.62,-90.0,top
R1,1k,R_0805_2012Metric,-30.4,27.4,180.0,top
R10,75,R_0805_2012Metric,-35.5,-3.5,-90.0,top
R11,75,R_0805_2012Metric,-35.5,-7.5,-90.0,top
R12,200,R_0805_2012Metric,-37.0,15.0,-90.0,top
R13,200,R_0805_2012Metric,-37.0,10.59,-90.0,top
R14,1k5,R_0805_2012Metric,-17.79,29.845,0.0,top
R16,5k1,R_0805_2012Metric,-45.4,28.8,180.0,top
R17,5k1,R_0805_2012Metric,-45.4,26.8,180.0,top
R2,1k5,R_0805_2012Metric,-34.2,27.4,180.0,top
R3,75,R_0805_2012Metric,-17.0,-2.993,-90.0,top
R4,75,R_0805_2012Metric,-16.9,15.9,90.0,top
R5,75,R_0805_2012Metric,-17.3,27.0,-90.0,top
R6,200,R_0805_2012Metric,-19.3,3.0,90.0,top
R7,10k,R_0805_2012Metric,-34.9,3.8,0.0,top
R8,75,R_0805_2012Metric,-35.0,1.0,180.0,top
R9,75,R_0805_2012Metric,-35.5,-11.5,90.0,top
U1,RT9166-18GVL(Z00),SOT-23,-32.254,30.558,90.0,top
U2,LMH1251MT_NOPB,TSSOP-24_4.4x7.8mm_P0.65mm,-25.5,8.0,-90.0,top
U3,THS7374,TSSOP-14_4.4x5mm_P0.65mm,-30.9,-9.9,-90.0,top
U6,74AHC1G86,TSOT-23-5,-36.5,19.5,0.0,top
U7,74AHC1G86,TSOT-23-5,-41.5,19.5,0.0,top
