Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C2, C3, C4, C5, C6, C9",0805,11,100n,
C13,0805,1,4.7n,
C7,CP_Elec_6.3x7.7,1,33u,
C8,0805,1,10u,
D1,0805,1,LED,
FB1,0805,1,Ferrite_Bead_Small,
J1,VGA_CONN,1,VGA,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J3,USB_C_Receptacle_Generic_Power_Only,1,USB_C_Receptacle_Power,
J4,SCART_CONN,1,SCART_CONN,
J5,3xRCA_CONN_SINGLE,1,3xRCA_CONN,
"JR1, JU1",Cheapo_RCA_single_edge,2,Conn_Coaxial,
R1,0805,1,1k,
"R10, R11, R3, R4, R5, R8, R9",0805,7,75,
"R12, R13, R6",0805,3,200,
"R14, R2",0805,2,1k5,
"R16, R17",0805,2,5k1,
R7,0805,1,10k,
U1,SOT-23,1,RT9166-18GVL(Z00),
U2,TSSOP-24_4.4x7.8mm_P0.65mm,1,LMH1251MT_NOPB,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,THS7374,
"U6, U7",TSOT-23-5,2,74AHC1G86,
