Designator,Mid X,Mid Y,Rotation,Layer
C1,-17.0,1.0,270.0,top
C10,-36.1,22.3,180.0,top
C11,-31.0,8.0,90.0,top
C12,-27.0,-10.0,90.0,top
C13,-19.3,-1.1,270.0,top
C14,-23.4,12.9,0.0,top
C2,-16.9,11.9,90.0,top
C3,-22.7,15.9,90.0,top
C4,-28.0,-0.5,270.0,top
C5,-30.0,-0.5,270.0,top
C6,-32.0,-0.5,270.0,top
C7,-24.0,28.3,270.0,top
C8,-35.5,30.6,270.0,top
C9,-30.4,25.4,180.0,top
D1,-17.75,31.85,0.0,top
FB1,-42.0,31.7,180.0,top
J1,-52.82,1.0,270.0,top
J2,-28.8,18.675,0.0,top
J3,-56.6,27.4,90.0,top
J4,-44.1625,-6.135,270.0,top
J5,-10.10274,13.0,90.0,top
JR1,-9.905,-15.6,270.0,top
JU1,-9.905,-28.62,270.0,top
R1,-30.4,27.4,180.0,top
R10,-35.5,-3.5,270.0,top
R11,-35.5,-7.5,270.0,top
R12,-37.0,15.0,270.0,top
R13,-37.0,10.59,270.0,top
R14,-17.79,29.845,0.0,top
R16,-45.4,28.8,180.0,top
R17,-45.4,26.8,180.0,top
R2,-34.2,27.4,180.0,top
R3,-17.0,-2.993,270.0,top
R4,-16.9,15.9,90.0,top
R5,-17.3,27.0,270.0,top
R6,-19.3,3.0,90.0,top
R7,-34.9,3.8,0.0,top
R8,-35.0,1.0,180.0,top
R9,-35.5,-11.5,90.0,top
U1,-32.254,30.558,270.0,top
U2,-25.5,8.0,180.0,top
U3,-30.9,-9.9,180.0,top
U6,-36.5,19.5,180.0,top
U7,-41.5,19.5,180.0,top
